LeiOfEntityWhichSubmittedTheOrder,DirectElectronicAccess,ClientIdentificationCode,InvestmentDecisionWithinFirm,ExecutionWithinFirm,NonExecutingBroker,TradingCapacity,LiquidityProvisionActivity,DateAndTime,ValidityPeriod,OrderRestriction,ValidityPeriodDateAndTime,MicCode,FinancialInstrumentsIdentificationCode,DateOfReceipt,OrderIdentificationCode,Lifecycle,OrderType,OrderTypeClassification,LimitPrice,AdditionalLimitPrice,StopPrice,PeggedLimitPrice,PriceCurrency,CurrencyOfLeg2,PriceNotation,BuySellIndicator,OrderStatus,QuantityNotation,QuantityCurrency,InitialQuantity,RemainingQuantityIncludingHidden,DisplayedQuantity,TradedQuantity,MinimumAcceptableQuantity,MinimumExecutableSize,MesFirstExecutionOnly,PassiveOnlyIndicator,SelfExecutionPrevention,StrategyLinkedOrder,RoutingStrategy,InstrumentFullName,UnderlyingInstrumentCode,InstrumentClassification,SRDTaxonomy,SequenceNumber,PassiveOrAggressiveIndicator,PriorityTimeStamp,OrderBookCode,TradingPhases,
,false,,,,,DEAL,false,2020-10-28T03:43:55.779373Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZGD8FW1B560,2020-10-28,1015GSK1BOSELL,FILL,Limit,LMTO,6.707,,,,CNY,,MONE,SELL,,MONE,CNY,900000000,0,0,900000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,304,,,VEZGD8FW1B560,,
1VUV7VQFKUOQSJ21A208,false,121593,,,,DEAL,,2020-10-28T10:34:07.773335Z,IOCV,VFCR,,XOFF,EZ5BMRJM31W8,2020-10-28,2020102801000000000000007755082N_1,NEWO,Limit,LMTO,0.7098,,,,,,BAPO,BUYI,ACTI,MONE,AUD,321000000,321000000,321000000,0,,0,true,false,true,,,FWD.AUD.USD.1D,,JFTXFP,ForeignExchange:Forward,148,,2020-10-28T10:34:07.773335Z,VXOFF7-e6c812fb57a9,Central Limit Order Book,
,false,,100224,100224,,DEAL,false,2020-10-28T11:24:17.981Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,IMCE,FR0000131906,2020-10-28,KAS2mH5t053801BOSELL,FILL,Limit,LMTO,21.89,,,,EUR,,MONE,SELL,,UNIT,EUR,744122,0,0,744122,,,,,true,,,RNOFPXXX_CASHCROSS_J3L1wt4y003c01,,ESXXXN,Equity:CashEquity,2434,,,VFR0000131906,,
,false,,,,,DEAL,false,2020-10-28T14:18:44.100041Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZL59VHWFP24,2020-10-28,102MP8E8BOBUY,NEWO,Limit,LMTO,1,,,,,,PERC,BUYI,ACTI,MONE,EUR,115000000,115000000,115000000,0,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,17,,,VEZL59VHWFP24,,
,false,,,,,DEAL,false,2020-10-28T03:43:47.745373Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1C18HN8KB4,2020-10-28,1015GSIABOBUY,FILL,Limit,LMTO,6.70725,,,,CNY,,MONE,BUYI,,MONE,CNY,900000000,0,0,900000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,411,,,VEZ1C18HN8KB4,,
,false,,,,,DEAL,false,2020-10-28T12:31:34.487798Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZL59VHWFP24,2020-10-28,102MOPP6BOBUY,NEWO,Limit,LMTO,17.6,,,,,,PERC,BUYI,ACTI,MONE,EUR,50000000,50000000,50000000,0,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,9,,,VEZL59VHWFP24,,
,false,,100145,100145,,DEAL,false,2020-10-28T16:50:34.336796Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZGWFS5GKHX6,2020-10-28,102MPOX8BOSELL,NEWO,Limit,LMTO,-8.375,,,,,,BAPO,SELL,ACTI,MONE,EUR,50000000,50000000,50000000,0,,,,,true,,,,,SRACCP,InterestRate:CrossCurrency:Basis,2,,,VEZGWFS5GKHX6,,
1VUV7VQFKUOQSJ21A208,false,,100022,100022,,DEAL,,2020-10-28T15:35:37.958825Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,,2020-10-28,10061374,NEWO,Limit,LMTO,75,,,,,,BAPO,SELL,ACTI,MONE,EUR,5000000,5000000,5000000,0,,5000000,true,false,true,,,"OATei29(MAR),may29 oat",,,Strategy,182,,2020-10-28T15:35:37.958754Z,120TSGB541e42c7bdc6,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:31:17.639968Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,,2020-10-28,47629301,CHME,Limit,LMTO,61,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,"MS 1.0 D/22,DBR 1.75 07/22 (ICAP)",,,Strategy,6,,2020-10-28T07:31:17.639894Z,99IOFI-3df5017afa56,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T12:04:15.923447Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ50TXX89BW6,2020-10-28,102MOLK6BOBUY,FILL,Limit,LMTO,3.75,,,,USD,,MONE,BUYI,,MONE,USD,50000000,0,0,50000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,19,,,VEZ50TXX89BW6,,
1VUV7VQFKUOQSJ21A208,false,,100022,100022,,DEAL,,2020-10-28T08:32:08.725540Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,FR0013524014,2020-10-28,10055773,CAMO,Limit,LMTO,116.99,,,,,,BAPO,SELL,,MONE,EUR,10000000,0,0,0,,5000000,true,false,true,,,OATi36(French),,DNFTFN,FixedIncome:Bond:Sovereign,89,,2020-10-28T08:27:19.571543Z,120TSGB6bc2bb9d9cbd,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:55.500296Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1586146851,2020-10-28,47611112,CHME,Limit,LMTO,34,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,SOCGEN FRN 04/01/22,,DTVUFB,FixedIncome:Bond:Corporate,32,,2020-10-28T07:29:55.500242Z,99IOFI-a0b9a2f73053,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T14:25:07.344554Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ2FKKJK5V41,2020-10-28,1011AYM3BOSELL,FILL,Limit,LMTO,21.303,,,,USD,,MONE,SELL,,MONE,USD,130000000,0,0,130000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,96,,,VEZ2FKKJK5V41,,
1VUV7VQFKUOQSJ21A208,false,121593,,,,DEAL,,2020-10-28T10:34:07.774335Z,IOCV,VFCR,,XOFF,EZ5BMRJM31W8,2020-10-28,2020102801000000000000007755082N_1,FILL,Limit,LMTO,0.7098,,,,,,BAPO,BUYI,,MONE,AUD,321000000,0,0,321000000,,0,true,false,true,,,FWD.AUD.USD.1D,,JFTXFP,ForeignExchange:Forward,150,PASV,2020-10-28T10:34:07.774335Z,VXOFF7-e6c812fb57a9,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T08:32:08.539468Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,IT0005387052,2020-10-28,10055919,CAMO,Limit,LMTO,102.37,,,,,,BAPO,SELL,,MONE,EUR,5000000,0,0,0,,5000000,true,false,true,,,BTPei30,,DBVUFB,FixedIncome:Bond:Sovereign,88,,2020-10-28T08:27:44.146929Z,120TSGB69f642a52fab,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,,100297,100297,,DEAL,,2020-10-28T14:10:26.983509Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSFI,,2020-10-28,47662200,NEWO,Limit,LMTO,137,,,,,,BAPO,BUYI,ACTI,MONE,EUR,3000000,3000000,3000000,0,,1000000,true,false,true,,,"BPLN 2.822 04/32 VM,DBR 0 02/30",,,Strategy,11,,2020-10-28T14:10:26.983438Z,99TSFI-ee38a5d44b3e,Continuous Volume Matching,
,false,,100224,100224,,DEAL,false,2020-10-28T11:24:17.98Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,IMCE,FR0000120172,2020-10-28,KAS2mH4i0B3801BOSELL,FILL,Limit,LMTO,13.55,,,,EUR,,MONE,SELL,,UNIT,EUR,554930,0,0,554930,,,,,true,,,CAFPXXXX_CASHCROSS_J3L1w4gV003c01,,ESXXXN,Equity:CashEquity,1886,,,VFR0000120172,,
,false,,,,,DEAL,false,2020-10-28T08:32:04.663415Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1TWTSLFFG1,2020-10-28,1015H6JBBOBUY,NEWO,Limit,LMTO,1.1754242,,,,USD,,MONE,BUYI,ACTI,MONE,USD,500000000,500000000,500000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,53,,,VEZ1TWTSLFFG1,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T08:21:01.716048Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1756434194,2020-10-28,47651069,REME,Limit,LMTO,36,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 01/19/23,,DTVUFB,FixedIncome:Bond:Corporate,24,,2020-10-28T08:21:01.715965Z,99IOFI-adcb95ebb174,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T10:45:25.793180Z,DAVY,VFCR,2020-10-28T23:59:59.999999Z,TSGB,,2020-10-28,10057934,REME,Limit,LMTO,-65.535,,,,,,BAPO,SELL,ACTI,MONE,EUR,10000000,10000000,10000000,0,,10000000,true,false,true,,,"DBR 0.00 05/35 EGB,BUND Dec 20",,,Strategy,11,,2020-10-28T10:45:25.793094Z,120TSGB2e53c6529d2a,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T08:29:45.620733Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,IT0004243512,2020-10-28,10056015,CHME,Limit,LMTO,109.22,,,,,,BAPO,SELL,ACTI,MONE,EUR,5000000,5000000,5000000,0,,5000000,true,false,true,,,BTPei23 (SEP),,DBVUFB,FixedIncome:Bond:Sovereign,50,,2020-10-28T08:29:45.620638Z,120TSGB2d32d9ee516c,Continuous Volume Matching,
,false,,UT08H7,UT08H7,,DEAL,false,2020-10-28T07:49:38.794475Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZFFSCG6WGD4,2020-10-28,102MN318BOBUY,NEWO,Limit,LMTO,1.1772,,,,EUR,,MONE,BUYI,ACTI,MONE,EUR,1000000000,1000000000,1000000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,201,,,VEZFFSCG6WGD4,,
1VUV7VQFKUOQSJ21A208,false,127665,,,,DEAL,,2020-10-28T16:29:28.728044Z,IOCV,VFCR,,XOFF,EZ0D90V21LJ4,2020-10-28,20201028045000000000000001727481_1,FILL,Limit,LMTO,-0.0028175,,,,,,BAPO,BUYI,,MONE,EUR,224700000,0,0,224700000,,0,true,false,true,,,10Y EUR IRS Outright (EUR.10Y.6M),,SRCCSP,InterestRate:IRSwap:FixedFloat,24,PASV,2020-10-28T16:29:28.728044Z,VXOFFd-0f50d444f467,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T10:27:22.223893Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZWRM6DQ2VQ2,2020-10-28,102MO4X8BOBUY,FILL,Limit,LMTO,-0.541,,,,,,PERC,BUYI,,MONE,EUR,210600000,0,0,210600000,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,7,,,VEZWRM6DQ2VQ2,,
,false,,,,,DEAL,false,2020-10-28T03:56:04.680158Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ7P9MQM7D86,2020-10-28,1015GTH2BOSELL,NEWO,Limit,LMTO,0.735,,,,,,PERC,SELL,ACTI,MONE,AUD,25000000,25000000,25000000,0,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,66,,,VEZ7P9MQM7D86,,
1VUV7VQFKUOQSJ21A208,false,,100297,100297,,DEAL,,2020-10-28T14:10:58.907398Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSFI,,2020-10-28,47662218,NEWO,Limit,LMTO,138.5,,,,,,BAPO,BUYI,ACTI,MONE,EUR,3000000,3000000,3000000,0,,1000000,true,false,true,,,"SLB 0.5 10/31 VM,DBR 0 08/29",,,Strategy,2,,2020-10-28T14:10:58.907324Z,99TSFI-1ea5b07e8923,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,,100191,100191,,DEAL,,2020-10-28T15:35:36.275975Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,,2020-10-28,10061366,NEWO,Limit,LMTO,49,,,,,,BAPO,SELL,ACTI,MONE,EUR,5000000,5000000,5000000,0,,5000000,true,false,true,,,"BTPei30,apr30 btp",,,Strategy,158,,2020-10-28T15:35:36.275907Z,120TSGB85301d16a4e4,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:49:34.253056Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1787278008,2020-10-28,47651063,NEWO,Limit,LMTO,37,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,ACAFP FRN 03/06/23,,DTVUFB,FixedIncome:Bond:Corporate,69,,2020-10-28T07:49:34.252979Z,99IOFI-9263072bf8eb,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T09:40:45.212960Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,FR0011400571,2020-10-28,47653346,CHME,Limit,LMTO,93,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,COFP 3.311 1/23,,DTFXXB,FixedIncome:Bond:Corporate,60,,2020-10-28T09:40:45.212885Z,99IOFI-6d1e020a5f56,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T13:55:11.999905Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ47GWVN7T04,2020-10-28,102MP40FBOSELL,NEWO,Limit,LMTO,4.87593,,,,RON,,MONE,SELL,ACTI,MONE,RON,150000000,150000000,150000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,94,,,VEZ47GWVN7T04,,
,false,,,,,DEAL,false,2020-10-28T13:48:20.861043Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1C18HN8KB4,2020-10-28,1011AVF3BOSELL,NEWO,Limit,LMTO,6.73,,,,CNY,,MONE,SELL,ACTI,MONE,CNY,380000000,380000000,380000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,314,,,VEZ1C18HN8KB4,,
,false,,100224,100224,,DEAL,false,2020-10-28T11:24:17.981Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,IMCE,FR0000130577,2020-10-28,KAS2mH5h053801BOSELL,FILL,Limit,LMTO,30.15,,,,EUR,,MONE,SELL,,UNIT,EUR,219193,0,0,219193,,,,,true,,,PUBFPXXX_CASHCROSS_J3L1wpZL003c01,,ESXXXN,Equity:CashEquity,1114,,,VFR0000130577,,
,false,,,,,DEAL,false,2020-10-28T14:16:59.516697Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ0D90V21LJ4,2020-10-28,102MP876BOSELL,NEWO,Limit,LMTO,-0.279,,,,,,PERC,SELL,ACTI,MONE,EUR,50000000,50000000,50000000,0,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,190,,,VEZ0D90V21LJ4,,
,false,,100091,100091,,DEAL,false,2020-10-28T12:52:31.451576Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZLPCS46MZX0,2020-10-28,102MOTG5BOBUY,NEWO,Limit,LMTO,18.2,,,,,,PERC,BUYI,ACTI,MONE,GBP,15000000,15000000,15000000,0,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,9,,,VEZLPCS46MZX0,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:31:21.226922Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,,2020-10-28,47628927,CHME,Limit,LMTO,48,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,"C 0.5 01/22 YTW (G),DBR 2 01/22 (ICAP)",,,Strategy,7,,2020-10-28T07:31:21.226862Z,99IOFI-d078d7b7cbf1,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:49.172163Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1787278008,2020-10-28,47626023,CHME,Limit,LMTO,42,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,ACAFP FRN 03/06/23,,DTVUFB,FixedIncome:Bond:Corporate,66,,2020-10-28T07:29:49.172093Z,99IOFI-9263072bf8eb,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T18:30:00.496185Z,DAVY,VFCR,2020-10-28T23:59:59.999999Z,TSGB,,2020-10-28,9967636,CAMO,Limit,LMTO,0.5275,,,,,,BAPO,SELL,,MONE,EUR,10000000,0,0,0,,10000000,true,false,true,,,"DBR 2.50 08/46 EGB,BUXL Dec 20",,,Strategy,11,,2020-10-14T15:14:22.990317Z,120TSGB51942b5a9fec,Central Limit Order Book,
,false,,UT08H9,UT08H9,,DEAL,false,2020-10-28T12:17:53.898987Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ7M85MX9WC6,2020-10-28,102MONNHBOSELL,NEWO,Limit,LMTO,1.17305,,,,EUR,,MONE,SELL,ACTI,MONE,EUR,500000000,500000000,500000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,90,,,VEZ7M85MX9WC6,,
,false,,,,,DEAL,false,2020-10-28T09:13:00.714873Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ8F1K6HZHR3,2020-10-28,1015H8G1BOSELL,FILL,Limit,LMTO,1133.625,,,,USD,,MONE,SELL,,MONE,USD,12000000,0,0,12000000,,,,,true,,,,,JFTXFC,ForeignExchange:NDF,8,,,VEZ8F1K6HZHR3,,
1VUV7VQFKUOQSJ21A208,false,,100022,100022,,DEAL,,2020-10-28T15:40:22.085830Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,,2020-10-28,10061391,CAMO,Limit,LMTO,99.625,,,,,,BAPO,BUYI,,MONE,EUR,5000000,0,0,0,,5000000,true,false,true,,,"OATei36,may36 oat",,,Strategy,45,,2020-10-28T15:36:22.004861Z,120TSGBe3728225a35e,Continuous Volume Matching,
,false,,,,,DEAL,false,2020-10-28T10:15:34.02196Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ0D90V21LJ4,2020-10-28,102MO4P5BOSELL,FILL,Limit,LMTO,19.4,,,,,,PERC,SELL,,MONE,EUR,50000000,0,0,50000000,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,60,,,VEZ0D90V21LJ4,,
,false,,,,,DEAL,false,2020-10-28T09:13:05.590351Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ4M4QPXQ759,2020-10-28,102MNQ28BOBUY,FILL,Limit,LMTO,2.5,,,,USD,,MONE,BUYI,,MONE,USD,12000000,0,0,12000000,,,,,true,,,,,JFTXFC,ForeignExchange:NDF,11,,,VEZ4M4QPXQ759,,
,false,,,,,DEAL,false,2020-10-28T13:48:20.862043Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZZ9VBT2DP24,2020-10-28,1011AVFCBOBUY,FILL,Limit,LMTO,6.73025,,,,CNY,,MONE,BUYI,,MONE,CNY,380000000,0,0,380000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,303,,,VEZZ9VBT2DP24,,
,false,,100224,100224,,DEAL,false,2020-10-28T11:24:17.982Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,IMCE,FR0000051807,2020-10-28,KAS2mH67053801BOSELL,FILL,Limit,LMTO,255.1,,,,EUR,,MONE,SELL,,UNIT,EUR,28808,0,0,28808,,,,,true,,,TEPFPXXX_CASHCROSS_J3L1x3dL003c01,,ESXXXN,Equity:CashEquity,674,,,VFR0000051807,,
1VUV7VQFKUOQSJ21A208,false,,100022,100022,,DEAL,,2020-10-28T15:40:22.098776Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,,2020-10-28,10061374,CAMO,Limit,LMTO,75,,,,,,BAPO,SELL,,MONE,EUR,5000000,0,0,0,,5000000,true,false,true,,,"OATei29(MAR),may29 oat",,,Strategy,188,,2020-10-28T15:35:37.958754Z,120TSGB541e42c7bdc6,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T08:21:04.144226Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1823532996,2020-10-28,47651071,REME,Limit,LMTO,36,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 05/22/23,,DTVUFB,FixedIncome:Bond:Corporate,23,,2020-10-28T08:21:04.144139Z,99IOFI-bdaf8f3c77af,Central Limit Order Book,
